physid,MSOC_SCHL_SPCLT_TX,MSOC_DGR_ERN_TX,MSOC_TYP_TX,MSOC_YR_RCVD_TX,MSOC_BRD_NM,MSOC_CERT_YR_TX
5439,Otolaryngology/Neurotology,,Fellowship,2003,American Board of Otolaryngology-Head and Neck Sur,2002
5440,,MD,Medical education,1983,American Board of Internal Medicine,1986
5441,,MD,Medical education,1975,American Board of Internal Medicine,1978
5441,Internal Medicine,,Internship,1976,American Board of Internal Medicine,1980
5442,,MD,Medical Education,1991,American Board of Otolaryngology-Head and Neck Sur,1997
5443,,MD,Medical Education,2005,,
5443,Urology,,Residency,2010,American Board of Urology,2015
5444,,MD,Medical Education,2013,Am Osteo Board of Emergency Medicine,2017
5445,,DO,Medical Education,2015,,
5446,,MD,Medical Education,2003,American Board of Anesthesiology,2008
5446,Pain Management,,Fellowship,2008,American Board of Anesthesiology,2008
5447,,MD,Medical Education,1997,American Board of Family Medicine,2002
5448,Physician Assistant,MS,Medical/Professional Educ,2007,NCCPA - National Commission on Certification of Ph,2007
5449,,MD,Medical education,1978,American Board of Internal Medicine,1982
5449,Basic Medicine,,Internship,1979,American Board of Internal Medicine,1986
5449,Internal Medicine,,Residency,1982,American Board of Internal Medicine,1987
5450,,MD,Medical Education,1997,American Board of Family Medicine,2000
5451,,MD,Medical Education,1993,American Board of Internal Medicine,1997
5452,,MD,Medical Education,1995,American Board of Internal Medicine,1999
5453,,DO,Medical Education,2014,,
5455,,MD,Medical Education,1984,,
5455,Family Practice,,Internship,1988,American Board of Family Medicine,1990
5456,,MD,Medical Education,1994,American Board of Family Medicine,1998
5457,,MD,Medical Education,1997,American Board of Internal Medicine,2003
5457,Rheumatology,,Fellowship,2003,American Board of Internal Medicine,2000
5458,,MSN,Professional Education,2008,American Nurses Credentialing Center Certification,
5459,,DPM,Medical Education,1981,,
5460,,MD,Medical Education,2006,American Board of Internal Medicine,2010
5460,Internal Medicine,MD,Internship,,,
5460,Internal Medicine,MD,Residency,2009,American Board of Internal Medicine,2011
5460,Pulmonary Disease&Critical Care Med,MD,Fellowship,2012,American Board of Internal Medicine,2012
5461,,MS/PA,Professional Education,2004,National Commission on Certification of Physician,
5462,,MD,Medical Education,1975,American Board of Internal Medicine,1984
5462,General Surgery,,Internship,1979,American Board of Internal Medicine,1989
5463,,MD,Medical Education,1992,American Board of Orthopaedic Surgery,2000
5464,,DO,Medical Education,1984,,
5465,,MSN,Professional Education,1996,,
5465,Nurser Practitioner/Acute Care,BSN,Professional Education,1999,,
5466,,MD,Medical Education,2002,American Board of Otolaryngology-Head and Neck Sur,2008
5468,,MD,Medical education,1985,,
5469,,MD,Medical Education,2002,,
5469,Family Medicine,,Internship,2003,American Board of Family Medicine,2005
5470,,MD,Medical Education,2005,American Board of Internal Medicine,2016
5470,Hospice and Palliative Medicine,,Fellowship,2016,American Board of Internal Medicine,2010
5470,Internal Medicine,,Residency,2009,American Board of Internal Medicine,2011
5471,,MD,Medical Education,2011,,
5471,Family Medicine,,Internship,2013,American Board of Family Medicine,2015
5472,,MD,Medical Education,1998,American Board of Family Medicine,2001
5472,Sports Medicine,,Fellowship,2002,American Board of Family Medicine,2002
5473,,,Fellowship,2009,American Board of Family Medicine,2008
5473,,MD,Medical Education,2004,,
5474,,MD,Medical Education,2011,,
5474,Family Medicine,,Residency,2014,American Board of Family Medicine,2014
5475,,MD,Medical Education,2001,American Board of Internal Medicine,2007
5475,Internal Medicine,,Residency,2004,American Board of Internal Medicine,2004
5475,Pulmonary Disease&Critical Care Med,,Fellowship,2008,American Board of Internal Medicine,2008
5476,,DO,Medical Education,2014,,
5476,Family Medicine,,Internship,2015,American Board of Family Medicine,2017
5477,,DPM,Medical Education,2006,,
5477,Podiatric Surgery,,Internship,2007,American Board of Podiatric Medicine,2015
5478,,MD,Medical Education,1978,American Board of Anesthesiology,1986
5479,,MD,Medical Education,2013,,
5479,Emergency Medicine,,Internship,2014,American Board of Emergency Medicine,2017
5480,,MD,Medical Education,2007,American Board of Emergency Medicine,2012
5481,,,Internship,2013,American Board of Internal Medicine,2015
5481,,DO,Medical Education,2012,,
5482,,MD,Medical education,1999,American Board of Surgery,2006
5483,,MD,Medical Education,1977,,
5483,Pediatrics,,Internship,1978,American Board of Emergency Medicine,1986
5485,,MD,Medical Education,1981,American Board of Family Medicine,1984
5486,,MSN,Professional Education,2013,American Academy of Nurse Practitioner Certificati,
5487,Internal Medicine,,Internship,2013,American Board of Internal Medicine,2015
5488,,MD,Medical education,2008,,
5489,,MD,Medical Education,1997,American Board of Family Medicine,2000
5490,,MD,Medical Education,2010,,
5490,Otolaryngology,,Internship,2011,American Board of Otolaryngology-Head and Neck Sur,2017
5492,,MD,Medical Education,1993,American Board of Internal Medicine,1999
5492,Health Services Research,,Fellowship,2001,American Board of Internal Medicine,1996
5493,,DO,Medical Education,2005,,
5493,Internal Medicine,,Internship,2006,American Board of Internal Medicine,2011
5493,Internal Medicine,,Residency,2009,American Board of Internal Medicine,2013
5493,Pulmonary Disease&Critical Care Med,,Fellowship,2012,American Board of Internal Medicine,2015
5494,,MD,Medical Education,2005,,
5494,Surgery-General,,Internship,2006,American Board of Urology,2013
5495,,MD,Medical Education,2003,American Board of Allergy and Immunology,2009
5495,Allergy and Immunology,,Fellowship,2009,American Board of Internal Medicine,2006
5496,,MD,Medical Education,2012,,
5496,Internal Medicine,,Internship,2013,American Board of Internal Medicine,2015
5497,,MD,Medical Education,2014,American Board of Family Medicine,2017
5498,,DO,Medical Education,2008,,
5498,Family Medicine,,Residency,2011,American Board of Family Medicine,2012
5499,,MD,Medical Education,2006,,
5499,Internal Medicine,,Internship,2008,American Board of Internal Medicine,2010
5500,,MD,Medical Education,2011,,
5500,Internal Medicine,,Residency,2014,American Board of Internal Medicine,2014
5500,Nephrology,,Fellowship,2016,American Board of Internal Medicine,2016
5502,,MD,Medical Education,1992,American Board of Family Medicine,1999
5504,,MD,Medical Education,1975,American Board of Emergency Medicine,1983
5505,,MD,Medical Education,2006,,
5505,Urologic Oncology,,Fellowship,2014,American Board of Urology,2017
5506,,MD,Medical Education,2006,,
5506,Family Medicine,,Residency,2010,American Board of Family Medicine,2010
5507,,MD,Medical Education,2002,American Board of Radiology,2007
5507,Radiology,,Residency,2007,American Board of Radiology,2009
5507,Vascular & Interventional Radiology,,Fellowship,2008,American Board of Radiology,2017
5508,,MD,Medical Education,2004,,
5508,Pediatrics,,Internship,,American Board of Anesthesiology,2012
5509,,DO,Medical Education,2015,,
5511,,PhD,Medical Education,1997,American Board of Internal Medicine,2005
5511,Cardiology,,Fellowship,2005,American Board of Internal Medicine,2000
5513,,MD,Medical Education,2008,,
5513,Internal Medicine,,Residency,2011,American Board of Internal Medicine,2011
5513,Nephrology,,Fellowship,2014,American Board of Internal Medicine,2013
5514,,MD,Medical Education,2004,American Board of Psychiatry and Neurology,2008
5514,Neurology/Neurophysiology,,Fellowship,2009,American Board of Psychiatry and Neurology,2011
5515,,DO,Medical Education,1983,Am Osteo Board of Family Physicians,1997
5516,Women's Health,CERT,Professional Training,2002,,
5516,Women's Health,MSN,Professional Training,2009,National Certification Corporation,2002
5517,,MD,Medical Education,1985,American Board of Anesthesiology,1994
5519,,MD,Medical Education,1982,American Board of Anesthesiology,1990
5520,,MD,Medical Education,2007,,
5520,Anesthesiology,,Residency,,American Board of Anesthesiology,2015
5521,,DPM,Medical Education,2005,American Board of Foot and Ankle Surgery,2010
5521,Podiatry,,Residency,2008,American Board of Foot and Ankle Surgery,2009
5522,,MD,Medical Education,1999,American Board of Otolaryngology-Head and Neck Sur,2010
5522,General Surgery,,Internship,2000,American Board of Otolaryngology-Head and Neck Sur,2005
5522,Neurotology,,Fellowship,2006,American Board of Otolaryngology-Head and Neck Sur,2005
5523,,MD,Medical Education,2002,American Board of Orthopaedic Surgery,2010
5524,,BS,Professional Education,2001,National Commission on Certification of Physician,
5525,,MD,Medical Education,1999,,
5525,Internal Medicine,,Internship,2002,American Board of Internal Medicine,2004
5526,,MD,Medical Education,1994,American Board of Internal Medicine,1997
5527,,MD,Medical Education,1996,American Board of Emergency Medicine,2001
5528,,MD,Medical education,1995,American Board of Internal Medicine,1998
5529,,MD,Medical Education,2015,,
5532,,MD,Medical Education,1990,American Board of Internal Medicine,2008
5532,General Internal Medicine/Research,,Fellowship,,American Board of Internal Medicine,1998
5532,Geriatric Medicine,,Fellowship,1997,American Board of Internal Medicine,1996
5535,,MD,Medical Education,2002,,
5535,Internal Medicine,,Residency,2005,American Board of Internal Medicine,2007
5535,Nephrology,,Fellowship,2007,American Board of Internal Medicine,2006
5536,,MD,Medical Education,2013,,
5537,,MD,Medical Education,1979,American Board of Internal Medicine,2004
5538,Physician Assistant Program,PA,Professional Education,1995,National Commission on Certification of Physician,
5539,,MBBCh,Medical/Professional Educ,2002,American Board of Internal Medicine,2014
5539,Internal Medicine,,Residency,,American Board of Internal Medicine,2012
5540,,MD,Medical Education,1986,,
5541,,MD,Medical Education,1989,American Board of Family Medicine,1992
5542,,BSN,Professional Education,1996,,
5542,,FNP/PA,Professional Education,1998,,
5543,,,Medical Education,2012,American Board of Internal Medicine,2015
5544,,MD,Medical Education,2012,,
5544,Internal Medicine,,Internship,2013,American Board of Internal Medicine,2015
5545,Allopathic Medicine,MD,Medical Education,1984,,
5545,Internal Medicine,,Medical Training,1987,American Board of Internal Medicine,1987
5546,,MD,Medical education,1980,American Board of Anesthesiology,1988
5547,,MD,Medical Education,2013,,
5547,Internal Medicine,,Internship,2014,American Board of Internal Medicine,2016
5548,,,Residency,2002,American Board of Family Medicine,2011
5548,,MD,Medical Education,1996,,
5549,,MD,Medical Education,2009,,
5549,Internal Medicine,,Residency,2012,American Board of Internal Medicine,2012
5550,,MD,Medical Education,2009,,
5550,Family Medicine,,Residency,2012,American Board of Family Medicine,2012
5551,Midwifery Program,masters in nurs,Medical Education,1997,American Midwifery Certification Board,
5552,,MD,Medical Education,2014,,
5552,Internal Medicine,,Internship,2016,American Board of Internal Medicine,2018
5553,,MD,Medical Education,2010,,
5554,,MD,Medical Education,2006,,
5556,,MD,Medical Education,2013,,
5556,Emergency Medicine,,Internship,2014,American Board of Emergency Medicine,2018
5557,,DO,Medical Education,2012,,
5557,Internal Medicine,,Internship,2013,Am Osteo Board of Internal Medicine,2016
5558,,MD,Medical Education,2010,,
5558,Obstetrics and Gynecology,,Internship,2011,American Board of Obstetrics and Gynecology,2017
5559,,MD,Medical Education,1980,American Board of Family Medicine,1985
5559,5th Pathway,,5th Pathway,1982,American Board of Family Medicine,1994
5560,,MD,Medical Education,2011,,
5561,,MD,Medical Education,2012,American Board of Emergency Medicine,2016
5562,,MD,Medical Education,2013,,
5562,Hematology and Oncology,,Fellowship,2019,American Board of Internal Medicine,2016
5562,Internal Medicine,,Internship,2016,American Board of Internal Medicine,2019
5562,Internal Medicine,,Residency,2016,American Board of Internal Medicine,2019
5563,,PA,Professional Education,2010,National Commission on Certification of Physician,
5564,,,Fellowship,2013,American Board of Internal Medicine,2012
5564,Internal Medicine,,Residency,2009,American Board of Internal Medicine,2009
5565,,BS,Professional Education,2007,National Commission on Certification of Physician,
5566,,MD,Medical Education,2012,,
5566,Family Medicine,,Internship,2013,American Board of Family Medicine,2015
5567,,MD,Medical Education,1996,,
5567,Preventive Medicine,,Residency,2010,American Board of Preventive Medicine,2013
5568,,MD,Medical Education,1984,American Board of Physical Medicine and Rehab,1989
5569,,,Internship,,American Board of Obstetrics and Gynecology,2015
5569,,DO,Medical Education,2009,,
5570,,MD,Medical Education,2000,American Board of Internal Medicine,2006
5570,Cardiology,,Fellowship,2007,American Board of Internal Medicine,2008
5571,,MD,Medical education,1974,American Board of Internal Medicine,1979
5571,Internal Medicine,,Internship,1975,American Board of Internal Medicine,1977
5572,,MD,Medical Education,2001,American Board of Internal Medicine,2009
5572,Internal Medicine,,Internship,2002,American Board of Internal Medicine,2011
5572,Internal Medicine,,Residency,2005,American Board of Internal Medicine,2008
5572,Pulmonary Disease&Critical Care Med,,Fellowship,2009,American Board of Internal Medicine,2005
5573,,MD,Medical Education,1992,American Board of Internal Medicine,1996
5574,,MD,Medical Education,1988,American Board of Internal Medicine,1998
5574,Cardiology,,Fellowship,1998,American Board of Internal Medicine,1994
5575,,DO,Medical Education,2012,,
5575,Internal Medicine,,Internship,2013,American Board of Internal Medicine,2015
5577,,MD,Medical Education,2003,American Board of Internal Medicine,2006
5577,Internal Medicine,,Residency,2006,American Board of Internal Medicine,2009
5577,Transplant Hepatology,,Fellowship,2010,American Board of Internal Medicine,2010
5578,,MD,Medical education,2005,American Board of Emergency Medicine,2010
5579,,MD,Medical Education,1990,American Board of Radiology,2017
5579,Interventional Radiology,,Fellowship,1997,American Board of Radiology,1998
5579,Radiology,,Residency,1996,American Board of Radiology,1996
5580,,MD,Medical Education,2006,,
5581,,MD,Medical Education,1998,,
5581,Family Medicine,,Internship,1999,American Board of Family Medicine,2003
5582,,MD,Medical Education,2003,,
5582,Female Pelvic Medicine & Reconstruction,,Fellowship,2010,American Board of Obstetrics and Gynecology,2013
5582,Obstetrics & Gynecology,,Residency,2007,American Board of Obstetrics and Gynecology,2010
5583,,MD,Medical Education,1991,American Board of Urology,1999
5585,,MD,Medical Education,2009,American Board of Family Medicine,2012
5585,Family Medicine,,Internship,2010,American Board of Addiction Medicine,2014
5586,,PA,Professional Education,2011,National Commission on Certification of Physician,
5587,,DO,Medical Education,2003,Am Osteo Board of Family Physicians,2006
5587,Family Medicine,,Internship,2004,American Board of Anesthesiology,2010
5589,,MD,Medical Education,2007,,
5589,Emergency Medicine,,Residency,2010,American Board of Emergency Medicine,2011
5590,,MD,Medical Education,1997,American Board of Internal Medicine,2001
5592,Nurse Practitioner,NP,Professional Education,1992,,
5593,,MD,Medical Education,2005,American Board of Emergency Medicine,2011
5594,,MD,Medical Education,1986,American Board of Anesthesiology,1994
5595,,MD,Medical education,2000,American Board of Obstetrics and Gynecology,2007
5596,,MD,Medical Education,1986,American Board of Internal Medicine,1990
5597,,MD,Medical Education,2006,,
5597,Internal Medicine,,Residency,2008,American Board of Internal Medicine,2012
5597,Nephrology,,Fellowship,2012,American Board of Internal Medicine,2009
5598,,MD,Medical Education,1987,American Board of Obstetrics and Gynecology,1994
5599,,MD,Medical Education,1992,American Board of Family Medicine,1995
5600,,MD,Medical Education,1992,American Board of Nuclear Medicine,2002
5600,Nuclear Medicine,,Fellowship,2002,American Board of Internal Medicine,1995
5601,,MD,Medical Education,1995,American Board of Radiology,2000
5602,,MD,Medical Education,2009,,
5603,,MD,Medical Education,1995,American Board of Orthopaedic Surgery,2004
5604,,DO,Medical Education,1987,Am Osteo Board of Emergency Medicine,1992
5605,,MD,Medical education,2004,,
5605,Interventional - Emergency Medicine,,Fellowship,,American Board of Emergency Medicine,2009
5606,,MD,Medical Education,1981,American Board of Anesthesiology,1986
5607,,MD,Medical Education,2004,,
5607,General Surgery,,Internship,2005,American Board of Surgery,2010
5608,,MD,Medical Education,1981,American Board of Emergency Medicine,1987
5608,Emergency Medicine,,Residency,1986,American Board of Internal Medicine,1984
5609,,MD,Medical Education,1985,American Board of Internal Medicine,1988
5610,,MD,Medical Education,1986,American Board of Obstetrics and Gynecology,1992
5611,,MD,Medical Education,2006,,
5611,Emergency Medicine,,Internship,2007,American Board of Emergency Medicine,2010
5612,,MD,Medical Education,1987,American Board of Internal Medicine,1999
5612,Internal Medicine,,Fellowship,1997,American Board of Internal Medicine,1998
5612,Internal Medicine,,Internship,1992,American Board of Internal Medicine,1994
5613,,MD,Medical Education,1969,American Board of Family Medicine,1985
5614,,MD,Medical Education,2007,,
5614,Emergency Medicine,,Residency,2011,American Board of Emergency Medicine,2012
5615,,CNM,Professional Education,1983,American Midwifery Certification Board,
5616,,MSN,Medical Education,1998,American Academy of Nurse Practitioner Certificati,
5617,,MD,Medical Education,1990,American Board of Radiology,2001
5617,Radiology,,Residency,2002,American Board of Radiology,2003
5618,,MD,Medical Education,2015,,
5618,Internal Medicine,,Internship,,American Board of Internal Medicine,2018
5618,Internal Medicine,MD,Residency,2018,,
5619,,MD,Medical Education,1984,,
5619,Internal Medicine,,Internship,1995,American Board of Internal Medicine,1995
5620,,MD,Medical Education,1991,American Board of Urology,2000
5621,,MD,Medical Education,1995,American Board of Emergency Medicine,1999
5622,,DO,Medical Education,2008,,
5622,Internal Medicine,,Residency,2011,American Board of Internal Medicine,2011
5624,,MSN,Medical Education,1984,,
5625,,MD,Medical Education,2015,,
5625,Family Medicine,,Internship,2016,American Board of Family Medicine,2018
5626,,MD,Medical Education,2013,,
5626,Family Medicine,,Internship,2014,American Board of Family Medicine,2016
5627,,MD,Medical/Professional Educ,2009,American Board of Emergency Medicine,2014
5628,,MD,Medical Education,2001,American Board of Family Medicine,2005
5629,,MD,Medical Education,2012,,
5630,,MD,Medical Education,2006,,
5630,Internal Medicine,,Internship,2007,American Board of Internal Medicine,2012
5630,Internal Medicine,,Residency,2009,American Board of Internal Medicine,2009
5630,Pulmonary Disease&Critical Care Med,,Fellowship,2012,American Board of Internal Medicine,2011
5631,,PA,Professional Education,2002,National Commission on Certification of Physician,
5632,,MD,Medical Education,1998,American Board of Obstetrics and Gynecology,2004
5633,,MD,Medical education,1995,American Board of Internal Medicine,2005
5634,,MD,Medical Education,2006,,
5634,Emergency Medicine,,Internship,2007,American Board of Emergency Medicine,2012
5636,,MD,Medical Education,1987,,
5636,Family Medicine,,Internship,1997,American Board of Family Medicine,2000
5637,,PA,Professional Education,1988,,
5637,Advanced Physician's Assistant Program,Masters,Professional Education,2003,National Commission on Certification of Physician,
5638,,MD,Medical Education,2016,American Board of Family Medicine,2019
5639,Podiatric Medicine Program,DPM,Medical Education,1998,American Board of Foot and Ankle Surgery,2005
5639,Podiatric Surgical Residency,,Residency,2001,American Board of Foot and Ankle Surgery,2006
5640,,BSN,Professional Education,1995,,
5640,,MSN,Professional Education,2007,,
5641,,DO,Medical Education,2009,,
5641,Internal Medicine,,Residency,2012,American Board of Internal Medicine,2012
5642,,MD,Medical Education,1999,American Board of Internal Medicine,2005
5642,Gastroenterology,,Fellowship,2005,American Board of Internal Medicine,2002
5643,,DO,Medical Education,2016,,
5644,,DO,Medical Education,2009,,
5644,Family Medicine,,Residency,2012,American Board of Family Medicine,2012
5645,,MD,Medical Education,1994,American Board of Emergency Medicine,1999
5646,,MD,Medical Education,2009,American Board of Anesthesiology,2014
5646,Anesthesiology,,Residency,2013,American Board of Anesthesiology,2014
5647,,MD,Medical Education,1998,,
5647,Family Medicine,,Internship,2002,American Board of Family Medicine,2004
5648,,MD,Medical Education,2014,,
5648,Family Medicine,,Internship,2015,American Board of Family Medicine,2017
5649,,MD,Medical Education,1984,American Board of Family Medicine,1988
5650,,MD,Medical Education,1999,American Board of Emergency Medicine,2003
5651,,MD,Medical Education,2001,,
5651,Internal Medicine,,Internship,2008,American Board of Internal Medicine,2013
5652,,DO,Medical Education,2009,,
5652,Emergency Medicine,,Internship,2010,Am Osteo Board of Emergency Medicine,2015
5653,,MD,Medical education,2011,,
5654,,MD,Medical Education,2012,,
5654,Family Medicine,,Internship,2013,American Board of Family Medicine,2015
5655,,MD,Medical Education,2013,,
5655,Family Medicine,,Internship,2014,American Board of Family Medicine,2016
5656,,MD,Medical Education,1995,American Board of Family Medicine,1998
5658,,MD,Medical Education,1998,American Board of Family Medicine,2005
5659,Emergency Medicine,MD,Medical Education,1993,American Board of Emergency Medicine,1998
5660,,MD,Medical Education,2011,,
5660,Family Medicine,,Internship,2012,American Board of Family Medicine,2014
5661,,DPM,Medical Education,2009,,
5662,,MD,Medical Education,2002,,
5662,Internal Medicine,,Internship,2006,American Board of Psychiatry and Neurology,2017
5662,Neurophysiology,,Fellowship,2010,American Board of Psychiatry and Neurology,2013
5662,Sleep Medicine,,Fellowship,2011,American Board of Psychiatry and Neurology,2011
5663,,MD,Medical Education,2006,American Board of Internal Medicine,2012
5663,Anesthesiology,,Residency,2008,American Board of Internal Medicine,2010
5664,,MD,Medical Education,2012,,
5664,Internal Medicine,,Internship,2013,American Board of Internal Medicine,2016
5665,,MD,Medical Education,2004,American Board of Emergency Medicine,2010
5665,Emergency/Internal Medicine,,Internship,2005,American Board of Internal Medicine,2009
5666,,MD,Medical Education,2009,,
5666,Internal Medicine,,Chief Resident,2013,American Board of Preventive Medicine,2018
5666,Internal Medicine,,Internship,2010,American Board of Internal Medicine,2012
5667,,MSN,Professional Education,1991,American Nurses Credentialing Center Certification,
5668,,MD,Medical Education,1979,American Board of Internal Medicine,1996
5669,,DPM,Medical Education,2007,,
5669,Podiatry,DPM,Internship,2009,,
5669,Podiatry,DPM,Residency,2010,American Board of Podiatric Surgery,2013
5670,,MD,Medical Education,1979,,
5671,,BS,Professional Education,1998,National Commission on Certification of Physician,
5671,,PA,Professional Education,2000,,
5672,,DO,Medical Education,2016,,
5673,,MD,Medical Education,1996,,
5673,Family Medicine,,Residency,2009,American Board of Family Medicine,2009
5674,,MD,Medical Education,2014,,
5675,,MD,Medical education,2005,,
5676,,DO,Medical Education,2007,,
5676,Emergency Medicine,,Internship,2008,American Board of Emergency Medicine,2011
5677,,CNM,Professional Education,1985,,
5677,Ob/Gyn,BSN,Professional Education,1978,,
5678,,MD,Medical Education,2013,,
5678,Emergency Medicine,,Internship,2014,American Board of Emergency Medicine,2019
5679,,PA,Professional Education,1998,National Commission on Certification of Physician,
5680,,MD,Medical Education,1993,American Board of Internal Medicine,2000
5681,,MSN,Professional Education,2009,,
5682,,MD,Medical Education,1991,American Board of Anesthesiology,1996
5682,Pain Management,,Fellowship,1996,American Board of Anesthesiology,1996
5683,,MD,Medical Education,1999,,
5683,Family Medicine,,Residency,2004,American Board of Family Medicine,2004
5684,,MD,Medical Education,2004,,
5684,Emergency Medicine,,Residency,2007,American Board of Emergency Medicine,2009
5685,,MSN,Medical Education,2000,American Board of Internal Medicine,
5686,,MD,Medical Education,2014,,
5686,Internal Medicine,,Internship,2015,American Board of Internal Medicine,2017
5687,,MD,Medical Education,1996,American Board of Radiology,2017
5687,Diagnostic Radiology,,Residency,2001,American Board of Radiology,2004
5687,Vascular & Interventional Radiology,,Fellowship,2002,American Board of Radiology,2001
5689,,DO,Medical Education,2011,,
5690,,MD,Medical Education,2000,American Board of Psychiatry and Neurology,2006
5691,,MD,Medical Education,2014,,
5693,,MSN,Professional Education,2003,American Academy of Nurse Practitioner Certificati,
5695,,FNP,Professional Education,2001,American Nurses Credentialing Center Certification,
5696,Allergy and Immunology,,Fellowship,1999,American Board of Allergy and Immunology,1999
5697,,MD,Medical Education,2009,,
5698,,MD,Medical Education,2012,,
5698,Internal Medicine,,Internship,2013,American Board of Internal Medicine,2015
5699,,PA,Professional Education,1994,,
5700,,MD,Medical Education,2006,,
5700,Surgery,,Internship,2007,American Board of Orthopaedic Surgery,2014
5701,,MD,Medical Education,1983,American Board of Family Medicine,1987
5701,Family Medicine,MD,Internship,1984,,
5701,Family Medicine,MD,Residency,1987,,
5702,Physician Assistant,PA Certificate,Medical Education,1997,National Commission on Certification of Physician,
5703,Nursing,BSN,Professional Education,1981,American Nurses Credentialing Center Certification,
5703,Nursing,MSN,Professional Education,1992,,
5704,,MD,Medical Education,2008,,
5704,Internal Medicine,,Residency,2011,American Board of Internal Medicine,2011
5705,,MD,Medical Education,2008,American Board of Family Medicine,2011
5706,,MD,Medical Education,2003,,
5706,Family Medicine,,Internship,2005,American Board of Family Medicine,2008
5707,,MD,Medical Education,1992,American Board of Psychiatry and Neurology,1997
5707,Neurophysiology,,Fellowship,1997,American Board of Psychiatry and Neurology,1999
5708,,MD,Medical Education,2005,,
5708,Internal Medicine,,Internship,2007,American Board of Psychiatry and Neurology,2012
5709,,DO,Medical Education,2009,,
5709,Internal Medicine,,Internship,2010,Am Osteo Board of Internal Medicine,2013
5710,,,Fellowship,1982,American Board of Internal Medicine,1986
5710,,MD,Medical Education,1977,American Board of Internal Medicine,1981
5711,,MD,Medical Education,1978,American Board of Obstetrics and Gynecology,1989
5712,,MD,Medical Education,1979,American Board of Urology,1987
5713,,MD,Medical Education,2002,American Board of Internal Medicine,2006
5713,Cardiology,,Fellowship,2007,American Board of Internal Medicine,2009
5713,Internal Medicine,,Residency,2005,American Board of Internal Medicine,2008
5714,,MD,Medical Education,1979,American Board of Otolaryngology-Head and Neck Sur,1983
5715,,MD,Medical Education,1994,American Board of Family Medicine,1997
5716,,MD,Medical Education,1983,American Board of Family Medicine,1986
5718,,MA,Professional Education,2006,National Commission on Certification of Physician,
5719,,MD,Medical Education,2014,,
5719,Internal Medicine,,Internship,2015,American Board of Internal Medicine,2017
5720,Allergy,,Fellowship,1975,American Board of Internal Medicine,1973
5720,Internal Medicine,,Residency,1973,American Board of Allergy and Immunology,1975
5721,,MD,Medical Education,2005,,
5721,Anesthesiology,,Residency,2009,American Board of Anesthesiology,2012
5721,Pain Management,,Fellowship,2010,American Board of Anesthesiology,2013
5724,,MD,Medical Education,1998,American Board of Family Medicine,2002
5725,,MD,Medical Education,1979,American Board of Internal Medicine,1982
5725,Internal Medicine,,Internship,1980,American Board of Emergency Medicine,1985
5727,,MD,Medical Education,2010,,
5727,Emergency Medicine,,Internship,2011,American Board of Emergency Medicine,2015
5729,,DO,Medical Education,1987,American Board Psychiatry & Neurology (Neurology),
5730,,MD,Medical Education,2002,,
5730,Internal Medicine / Transitional,,Internship,2003,American Board of Internal Medicine,2008
5731,Hospice and Palliative Medicine,,Fellowship,2017,American Board of Family Medicine,2016
5732,,MD,Medical Education,1998,American Board of Anesthesiology,2003
5732,Chronic Pain Management,,Fellowship,2003,American Board of Anesthesiology,2004
5733,,MD,Medical Education,1997,,
5733,Transitional,,Internship,1998,American Board of Emergency Medicine,2002
5734,,MD,Medical Education,2008,,
5735,,MD,Medical Education,2011,,
5735,Family Medicine,,Internship,2013,American Board of Family Medicine,2015
5736,,MD,Medical Education,1978,American Board of Internal Medicine,1984
5736,Nephrology,,Fellowship,1983,American Board of Internal Medicine,1981
5737,,MD,Medical Education,2006,American Board of Emergency Medicine,2010
5738,,MD,Medical Education,1987,American Board of Urgent Care Medicine,2016
5739,,MD,Medical Education,1976,American Board of Dermatology,1982
5741,,DO,Medical Education,2013,,
5741,Family Medicine,,Internship,2014,American Board of Family Medicine,2016
5742,,MD,Medical Education,1969,,
5744,,MD,Medical Education,1990,American Board of Surgery,1999
5744,Vascular Surgery,,Fellowship,1998,American Board of Surgery,1998
5746,,MD,Medical Education,1994,American Board of Internal Medicine,1999
5746,Nephrology,,Fellowship,1999,American Board of Internal Medicine,1997
5747,,MD,Medical Education,2002,American Board of Internal Medicine,2005
5749,,MD,Medical Education,1992,,
5749,Family Medicine,,Residency,2012,American Board of Family Medicine,2012
5750,,MD,Medical Education,2009,,
5753,,MD,Medical Education,1985,American Board of Family Medicine,1996
5754,,DO,Medical Education,2012,,
5754,Transitional,,Internship,2013,Am Osteo Board of Family Physicians,2015
5756,,MD,Medical Education,2015,,
5756,Internal Medicine,,Internship,2016,American Board of Internal Medicine,2018
5757,,NP,Professional Education,2001,,
5757,,"RN, BSN",Professional Education,1996,American Academy of Nurse Practitioner Certificati,
5758,,MD,Medical Education,2005,,
5758,Obstetrics and Gynecology,,Residency,2009,American Board of Obstetrics and Gynecology,2011
5759,,PA,Professional Education,2006,National Commission on Certification of Physician,
5760,,DO,Medical Education,2013,,
5760,Family Medicine,,Internship,2014,American Board of Family Medicine,2016
5761,,MD,Medical Education,2007,American Board of Internal Medicine,2011
5762,,DPM,Medical Education,1998,American Board of Foot and Ankle Surgery,2004
5762,AO/ASIF International Trauma,,Fellowship,2001,American Board of Foot and Ankle Surgery,2006
5763,,MMS,Professional Education,2001,National Commission on Certification of Physician,
5764,,MD,Medical Education,2006,,
