physid,firstdepyr,lastdepyr,SPECIALTY,MEDCTR,MSA,ENCCT
4421,2016,2019,Pain Management,CULVER MARINA MEDICAL OFFICES  U,WEST LA MEDICAL CENTER AREA,1125
4421,2016,2019,Pain Management,WEST LA MEDICAL CENTER L,WEST LA MEDICAL CENTER AREA,512
4422,2007,2008,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,901
4422,2008,2009,Neurology,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,988
4422,2008,2010,Neurology,VISTA MEDICAL OFFICES         U,SAN DIEGO MEDICAL CENTER AREA,2045
4424,2011,2015,"Obstetrics, Gynecology",4900 SUNSET MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,715
4424,2015,2020,"Obstetrics, Gynecology",DISCOVERY PLAZA MEDICAL OFFICE U,KERN COUNTY MED CENTER AREA,7944
4425,2009,2016,Family Practice,CARLSBAD MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,3636
4425,2009,2016,Family Practice,ESCONDIDO MEDICAL OFFICES     U,SAN DIEGO MEDICAL CENTER AREA,3733
4425,2009,2016,Family Practice,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,2163
4425,2010,2011,Family Practice,BERNARDO CENTER MEDICAL OFFICE U,SAN DIEGO MEDICAL CENTER AREA,226
4425,2010,2013,Family Practice,OCEANSIDE MEDICAL OFFICES U,SAN DIEGO MEDICAL CENTER AREA,1300
4425,2015,2016,Family Practice,OCEANSIDE RANCH MEDICAL OFFICE/U,SAN DIEGO MEDICAL CENTER AREA,209
4427,2008,2018,"Obstetrics, Gynecology",WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,8878
4427,2017,2020,"Obstetrics, Gynecology",BALDWIN HILLS CRENSHAW MEDICAL OFFIC,WEST LA MEDICAL CENTER AREA,1773
4429,2012,2015,Internal Medicine,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,76
4429,2013,2014,Urgent Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,4
4429,2013,2015,Internal Medicine,IRIS ST MEDICAL OFFICES II,RIVERSIDE MEDICAL CENTER AREA,27
4431,2004,2020,"Surgery, Vascular",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,21606
4431,2005,2007,"Surgery, General",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,20
4432,2004,2017,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,611
4432,2004,2017,Family Practice,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,39050
4432,2004,2017,Urgent Care,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,2434
4432,2007,2007,Family Practice,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,27
4432,2008,2008,Family Practice,UPLAND MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,5
4432,2014,2014,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,20
4432,2017,2020,Family Practice,CHINO GRAND MEDICAL OFFICES U,SAN BERNARDINO COUNTY AREA,10430
4432,2018,2018,Urgent Care,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,30
4432,2018,2019,Family Practice,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,164
4432,2018,2020,Urgent Care,MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,85
4433,2009,2010,Pediatric Urgent Care,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,124
4433,2009,2014,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,34339
4433,2010,2010,Family Practice,PT LOMA/FORDHAM MED OFFICE   U,SAN DIEGO MEDICAL CENTER AREA,152
4433,2010,2012,Family Practice,RANCHO SAN DIEGO MOB          U,SAN DIEGO MEDICAL CENTER AREA,325
4433,2010,2014,Family Practice,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,46
4433,2011,2013,Employee Health,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,58
4433,2013,2014,Family Practice,WELLNESS MOBILE UNIT IMP W/SD,SAN DIEGO MEDICAL CENTER AREA,109
4433,2014,2014,Urgent Care,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,1153
4433,2014,2014,Urgent Care,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,112
4434,2008,2008,"Surgery, General",LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,101
4434,2008,2013,"Surgery, General",ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,5152
4434,2013,2020,"Surgery, Vascular",ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,2629
4434,2014,2020,"Surgery, Vascular",ANAHEIM KRAEMER MED OFFICE 2 U,ORANGE COUNTY MED CENTER AREA,5255
4435,2004,2004,Addiction Medicine,MAIN ST. HEALTH PAVILION 2,SOUTH BAY MEDICAL CENTER AREA,2
4435,2004,2004,Audiology,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,2
4435,2004,2004,Cardiology,BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,1
4435,2004,2004,Dermatology,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,3
4435,2004,2004,"Endocrinology, Diabetes/Metabolism",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,"Endocrinology, Diabetes/Metabolism",PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,2
4435,2004,2004,Family Practice,LONG BEACH MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2004,2004,Family Practice,WHITTIER MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,2
4435,2004,2004,Gastroenterology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,Gastroenterology,BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,2
4435,2004,2004,Hematology/Oncology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,3
4435,2004,2004,Internal Medicine,GARDENA MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2004,2004,Nephrology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,Nephrology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,2
4435,2004,2004,"Obstetrics, Gynecology",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,"Obstetrics, Gynecology",TORRANCE MEDICAL OFFICE BLDG U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2004,2004,Occupational Therapy,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,Ophthalmology,ROSECRANS MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,3
4435,2004,2004,Ophthalmology,SAN DIMAS MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,Optometry,GARDENA MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,2
4435,2004,2004,Optometry,LONG BEACH MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2004,2004,"Orthopaedics, Medicine",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,Otolaryngology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,Pain Management,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1
4435,2004,2004,Pediatrics,SAN DIMAS MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2004,2004,Physical Therapy,GARDENA MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2004,2004,Podiatry,BELLFLOWER WEST MEDICAL OFFICE U,DOWNEY MEDICAL CENTER AREA,1
4435,2004,2004,Psychiatry,BROOKSHIRE MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,2
4435,2004,2004,Psychiatry,LOMITA MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2004,2004,Psychiatry,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1
4435,2004,2004,Rheumatology,BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,2
4435,2004,2004,"Surgery, General",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,2
4435,2004,2004,"Surgery, General",BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,1
4435,2004,2004,Urgent Care,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,2
4435,2004,2004,Urology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,3
4435,2004,2005,Audiology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,3
4435,2004,2005,Cardiology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,2
4435,2004,2005,Cardiology,LAKESIDE MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,6
4435,2004,2005,Dermatology,LAKESIDE MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,4
4435,2004,2005,Family Practice,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,18
4435,2004,2005,Family Practice,CUDAHY MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,6
4435,2004,2005,Family Practice,MONTEBELLO MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,7
4435,2004,2005,Family Practice,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,5
4435,2004,2005,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,11
4435,2004,2005,Family Practice,SAN DIMAS MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,4
4435,2004,2005,Family Practice,WEST COVINA MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,7
4435,2004,2005,Gastroenterology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,211
4435,2004,2005,Gastroenterology,SOUTH BAY MEDICAL CENTER L,SOUTH BAY MEDICAL CENTER AREA,1140
4435,2004,2005,Hematology/Oncology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,4
4435,2004,2005,Internal Medicine,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,4
4435,2004,2005,Internal Medicine,LAKESIDE MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,10
4435,2004,2005,Internal Medicine,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,14
4435,2004,2005,"Obstetrics, Gynecology",NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,3
4435,2004,2005,"Obstetrics, Gynecology",ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,3
4435,2004,2005,Ophthalmology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,6
4435,2004,2005,Optometry,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,3
4435,2004,2005,Optometry,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,7
4435,2004,2005,Optometry,ROSECRANS MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,5
4435,2004,2005,"Orthopaedics, Medicine",SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,3
4435,2004,2005,Pediatrics,GARDENA MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,3
4435,2004,2005,Pediatrics,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,2
4435,2004,2005,Pediatrics,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,2
4435,2004,2005,"Surgery, General",PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,3
4435,2004,2005,Urology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,3
4435,2005,2005,Dermatology,LONG BEACH MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2005,2005,"Endocrinology, Diabetes/Metabolism",ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1
4435,2005,2005,Hematology/Oncology,BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,1
4435,2005,2005,Infectious Diseases,LAKESIDE MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2005,2005,Internal Medicine,LONG BEACH MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,2
4435,2005,2005,Nephrology,BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,1
4435,2005,2005,Neurology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2005,2005,Neurology,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2005,2005,"Obstetrics, Gynecology",BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,1
4435,2005,2005,"Obstetrics, Gynecology",SAN DIMAS MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2005,2005,Ophthalmology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2005,2005,"Orthopaedics, Medicine",BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,1
4435,2005,2005,Pediatrics,CUDAHY MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1
4435,2005,2005,Physical Medicine,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1
4435,2005,2005,Physical Medicine,SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2005,2005,Physical Therapy,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,2
4435,2005,2005,Physical Therapy,LONG BEACH MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2005,2005,Physical Therapy,SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2005,2005,Podiatry,SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,1
4435,2005,2005,Psychiatry,WEST COVINA BEHAVIORAL HEALTH U,BALDWIN PARK MED CENTER AREA,1
4435,2005,2005,Rheumatology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1
4435,2005,2006,Pulmonary Diseases,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,575
4435,2005,2008,Gastroenterology,ORANGE HEALTH PAVILION U,ORANGE COUNTY MED CENTER AREA,146
4435,2005,2012,Gastroenterology,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,3607
4435,2007,2008,Rheumatology,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,376
4435,2007,2019,Gastroenterology,ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,8151
4435,2009,2018,Gastroenterology,ANAHEIM KRAEMER MED OFFICE 1,ORANGE COUNTY MED CENTER AREA,5161
4435,2017,2017,Health Education,ORANGE HEALTH PAVILION U,ORANGE COUNTY MED CENTER AREA,11
4436,2016,2016,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,8
4436,2016,2019,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,2463
4436,2017,2020,Urgent Care,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,12232
4437,2018,2019,Infectious Diseases,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,1415
4437,2020,2020,Infectious Diseases,ANAHEIM KRAEMER MED OFFICE 1,ORANGE COUNTY MED CENTER AREA,116
4438,2006,2006,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,13
4438,2006,2019,"Endocrinology, Diabetes/Metabolism",ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,31992
4438,2009,2009,Urgent Care,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,7
4438,2013,2013,"Endocrinology, Diabetes/Metabolism",CUDAHY MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,30
4438,2019,2020,Internal Medicine,CERRITOS MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,541
4438,2019,2020,Internal Medicine,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,245
4439,2004,2020,Nephrology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,10241
4440,2005,2005,,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,2
4440,2005,2020,Pulmonary Diseases,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,10780
4440,2008,2020,Pulmonary Diseases,BALDWIN PARK MEDICAL CENTER L,BALDWIN PARK MED CENTER AREA,327
4442,2009,2010,Family Practice,NORTHSIDE MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,2388
4442,2009,2010,Urgent Care,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,62
4442,2010,2010,Pediatric Urgent Care,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,77
4443,2014,2020,"Surgery, General",PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,2250
4443,2018,2018,Urgent Care,SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,10
4444,2014,2017,Otolaryngology,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,1838
4444,2014,2017,Otolaryngology,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,2640
4445,2007,2007,,WOODLAND HILLS MEDICAL CENTER L,WOODLAND HILLS MED CENTER AREA,1
4445,2007,2008,"Surgery, General",PANORAMA CITY MEDICAL OFFICE 4 U,PANORAMA MEDICAL CENTER AREA,206
4446,2017,2020,"Surgery, Cardiovascular",1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,626
4447,2004,2014,Family Practice,MONTEBELLO MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,26417
4447,2005,2009,"Obstetrics, Gynecology",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,543
4447,2006,2009,Family Practice,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1428
4447,2009,2012,Urgent Care,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,249
4447,2015,2020,Population Care Management,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,4714
4448,2009,2020,Urgent Care,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,16911
4448,2013,2015,Family Practice,CARE CORNER PALMDALE 2950/U,ANTELOPE VALLEY MED CTR AREA,4
4448,2019,2019,Family Practice,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,41
4448,2019,2019,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,24
4448,2019,2019,Family Practice,SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,24
4448,2019,2020,Family Practice,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,142
4448,2019,2020,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,49
4448,2019,2020,Family Practice,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,227
4448,2019,2020,Family Practice,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,67
4448,2019,2020,Family Practice,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,46
4448,2019,2020,Family Practice,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,31
4448,2019,2020,Family Practice,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,77
4448,2019,2020,Family Practice,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,19
4448,2019,2020,Family Practice,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,165
4452,2015,2020,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,12173
4452,2016,2017,Otolaryngology,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,588
4453,2005,2020,Otolaryngology,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,48854
4453,2007,2015,"Surgery, Ambulatory",GARDEN MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,322
4453,2012,2015,Cosmetics,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,12
4454,2011,2019,Cardiac Cath,FONTANA MEDICAL CENTER L,SAN BERNARDINO COUNTY AREA,983
4454,2011,2020,Cardiology,MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,6221
4454,2012,2012,Cardiology,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,3
4454,2018,2019,Cardiology,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,2
4455,2006,2020,Nephrology,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,16020
4455,2016,2020,Nephrology,WEST LA MEDICAL CENTER L,WEST LA MEDICAL CENTER AREA,444
4456,2015,2019,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,363
4457,2018,2018,Radiology,BALDWIN PARK MEDICAL CENTER L,BALDWIN PARK MED CENTER AREA,1
4460,2017,2018,Urgent Care,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,7620
4461,2007,2020,Cardiology,PANORAMA CITY MEDICAL OFFICE 4 U,PANORAMA MEDICAL CENTER AREA,18398
4461,2008,2020,Cardiology,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,2535
4461,2015,2017,Cardiology,ANTELOPE VALLEY MEDICAL OFFICE U,ANTELOPE VALLEY MED CTR AREA,240
4461,2016,2019,Urgent Care,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,1685
4461,2016,2020,Urgent Care,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,4169
4461,2017,2017,Family Practice,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,12
4461,2018,2020,Cardiology,SANTA CLARITA MEDICAL OFFICE 2,PANORAMA MEDICAL CENTER AREA,443
4462,2004,2009,Urgent Care,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,203
4462,2004,2012,Internal Medicine,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,25949
4464,2008,2010,Pain Management,MORENO VALLEY MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,387
4464,2008,2010,Pain Management,PALM DESERT MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,193
4464,2008,2011,Addiction Medicine,MORENO VALLEY MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,9197
4464,2009,2009,Family Practice,WILDOMAR MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,15
4464,2010,2010,Addiction Medicine,PALM DESERT MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,1
4464,2010,2010,Pain Management,CORONA MEDICAL OFFICES  D15 U,RIVERSIDE MEDICAL CENTER AREA,584
4464,2011,2011,Addiction Medicine,CORONA MEDICAL OFFICES  D15 U,RIVERSIDE MEDICAL CENTER AREA,57
4464,2011,2011,Psychiatry,CORONA MEDICAL OFFICES  D15 U,RIVERSIDE MEDICAL CENTER AREA,17
4464,2011,2017,Family Practice,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,22463
4464,2016,2016,Urgent Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,13
4464,2018,2018,Population Care Management,NORMANDIE SO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,301
4464,2018,2018,Social Services,NORMANDIE SO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,49
4464,2018,2018,Urgent Care,SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,28
4464,2018,2019,Population Care Management,MAIN ST. HEALTH PAVILION 1,SOUTH BAY MEDICAL CENTER AREA,1491
4464,2019,2019,Family Practice,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,9
4464,2019,2019,Health Education,LONG BEACH MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,7
4464,2019,2020,Population Care Management,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,556
4465,2006,2014,Ophthalmology,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,1910
4465,2006,2020,Ophthalmology,LA PALMA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,26302
4466,2005,2005,Urgent Care,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,13
4466,2006,2006,Family Practice,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,21
4466,2014,2016,Urgent Care,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,2269
4466,2014,2020,Urgent Care,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,22720
4466,2017,2017,Family Practice,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,8
4467,2004,2006,Cardiology,SCRIPPS CARDIOLOGY,SAN DIEGO MEDICAL CENTER AREA,166
4467,2004,2016,Cardiology,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,8319
4467,2004,2020,Cardiology,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,8811
4467,2017,2018,Cardiology,VIEWRIDGE 1 MEDICAL OFFICES U,SAN DIEGO MEDICAL CENTER AREA,2
4467,2017,2019,Cardiology,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,11
4468,2015,2016,Ophthalmology,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,88
